Month,Year,Plan Month,Plan Year,Total Medical Claims,Total Rx Claims,Total Paid Claims,Adjusted Total Expenses,EE Count,Member Count,Client
1,2011,1,1,4767,195529.47,200296.47,336582.47,1093,2710,Antelope Valley
2,2011,2,1,492254.8,195997.93,688252.73,824538.73,1093,2674,Antelope Valley
3,2011,3,1,449411,230158.09,679569.09,816977.09,1102,2690,Antelope Valley
4,2011,4,1,829805.58,204176.23,1033981.81,1170641.81,1096,2683,Antelope Valley
5,2011,5,1,675157.46,196067.47,871224.93,1006014.93,1081,2613,Antelope Valley
6,2011,6,1,1016212.95,199512.23,1215725.18,1349018.18,1069,2580,Antelope Valley
7,2011,7,1,717525.58,202622.25,920147.83,1051072.83,1050,2561,Antelope Valley
8,2011,8,1,679086.26,193820.87,872907.13,1004953.13,1059,2556,Antelope Valley
9,2011,9,1,860945.14,217247.94,1078193.08,1209492.08,1053,2531,Antelope Valley
10,2011,10,1,726492.18,204592.36,931084.54,1062133.54,1051,2538,Antelope Valley
11,2011,11,1,697952.49,210697.05,908649.54,1039823.54,1052,2565,Antelope Valley
12,2011,12,1,819171.31,216863.81,1005339.18,1137511.18,1060,2542,Antelope Valley
1,2012,1,2,703518.95,231496.78,935015.73,1048366.84,1060,2659,Antelope Valley
2,2012,2,2,581781.87,208656.28,760891.15,873682.55,1056,2528,Antelope Valley
3,2012,3,2,1158927,234185.5,1393112.5,1504327.37,1041,2516,Antelope Valley
4,2012,4,2,670695,203714.46,874409.46,984221.38,1028,2472,Antelope Valley
5,2012,5,2,849599,234723.65,1055334.99,1162934.01,1007,2449,Antelope Valley
6,2012,6,2,1150303,216369.73,1366672.73,1474139.18,1006,2423,Antelope Valley
7,2012,7,2,842055,203204.17,1045259.17,1151043.77,990,2410,Antelope Valley
8,2012,8,2,762643,218164.18,980807.18,1085746.95,982,2399,Antelope Valley
9,2012,9,2,648916,209345.39,858261.39,962568.15,976,2392,Antelope Valley
10,2012,10,2,727449,221739.26,949188.26,1052654.64,968,2386,Antelope Valley
11,2012,11,2,1040561.03,210328.75,1250889.78,1063489.51,960,2373,Antelope Valley
12,2012,12,2,598164.79,206263.11,804427.9,906108.64,958,2353,Antelope Valley
1,2013,1,3,734154.2,228871.26,963025.46,1062010.543,945,2354,Antelope Valley
2,2013,2,3,602018.55,171455.02,676408.05,775806.8,933,2325,Antelope Valley
3,2013,3,3,1077193.58,181383.61,1258577.19,1342256.727,933,2323,Antelope Valley
4,2013,4,3,915140.72,226009.41,1141150.13,1242940.75,938,2328,Antelope Valley
5,2013,5,3,1081463.47,213328.45,1265333.42,1367872.243,945,2336,Antelope Valley
6,2013,6,3,1108221.41,213881.35,1322102.76,1386760.413,954,2369,Antelope Valley
7,2013,7,3,763484.07,239208.18,1002692.25,1090694.923,953,2363,Antelope Valley
8,2013,8,3,854038.02,244585.67,1050208.69,1153926.57,956,2352,Antelope Valley
9,2013,9,3,735225.82,221417.68,956643.5,1059824.077,951,2344,Antelope Valley
10,2013,10,3,1341520.92,250070.46,1591591.38,1694018.47,944,2331,Antelope Valley
11,2013,11,3,729317.41,267974.6,958630.51,1061271.013,946,2333,Antelope Valley
12,2013,12,3,913501.6,278421.09,1191922.69,941157.1333,939,2321,Antelope Valley
1,2014,1,4,850364.05,262367,1112731.05,1210475.593,957,2399,Antelope Valley
2,2014,2,4,758933.66,213342,930107.41,1024857.39,959,2391,Antelope Valley
3,2014,3,4,896668.68,229839.44,1126508.12,1224146.333,958,2393,Antelope Valley
4,2014,4,4,1032392.44,301863,1334255.44,1432654.717,967,2413,Antelope Valley
5,2014,5,4,1046020.56,246623,1247571.06,1346963.047,974,2428,Antelope Valley
6,2014,6,4,1327620.25,209753,1537373.25,1606997.69,981,2451,Antelope Valley
7,2014,7,4,1055773.84,290026.08,1345799.92,1446535.507,986,2476,Antelope Valley
8,2014,8,4,986563.19,235221.81,1172862,1273933.65,990,2475,Antelope Valley
9,2014,9,4,862365.03,205473.3,1067838.33,1168836.31,988,2490,Antelope Valley
10,2014,10,4,723820.97,203066.06,926887.03,1028630.143,997,2486,Antelope Valley
11,2014,11,4,838756.97,174677.61,962590.58,1062350.187,976,2458,Antelope Valley
12,2014,12,4,1010324.34,234618.82,1244943.16,1339181.503,978,2471,Antelope Valley
1,2015,1,5,775891.54,213089.78,988981.32,1081299.48,964,2442,Antelope Valley
2,2015,2,5,937329.73,262461.94,1153489.17,1245835.52,965,2431,Antelope Valley
3,2015,3,5,830966.23,242699.49,1073665.72,1163978.08,944,2373,Antelope Valley
4,2015,4,5,1180393.61,418094.22,1598487.83,1688288.24,939,2354,Antelope Valley
5,2015,5,5,900861.92,266851.69,1124155.11,1214231.9,941,2376,Antelope Valley
6,2015,6,5,1317789.71,245878.16,1563667.87,1653596.47,940,2363,Antelope Valley
7,2015,7,5,635857.49,276829.94,912687.43,1002846.6,943,2359,Antelope Valley
8,2015,8,5,702798.51,195687.29,830585.4,694628.97,933,2345,Antelope Valley
9,2015,9,5,744733.42,216699.57,961432.99,960735.03,919,2315,Antelope Valley
10,2015,10,5,802054.81,217260.57,1019315.38,1107527.56,922,2319,Antelope Valley
